sample	stage	replicate	culture_batch	year
OL21_01	egg	1	1	2021
OL25_01	egg	2	21	2025
OL25_02	egg	3	22	2025
OL24_01	8c	1	9	2024
OL24_02	8c	2	10	2024
OL24_03	8c	3	11	2024
OL24_06	16c	1	12	2024
OL25_03	16c	2	14	2025
OL25_04	16c	3	24	2025
OL21_05	32c	1	3	2021
OL21_06	32c	2	5	2021
OL21_07	32c	3	25	2021
OL24_19	72c	1	15	2024
OL24_20	72c	2	16	2024
OL24_09	72c	3	17	2024
OL24_11	78c	1	15	2024
OL24_12	78c	2	16	2024
OL25_07	78c	3	27	2025
OL21_09	gastr	1	3	2021
OL21_10	gastr	2	4	2021
OL21_11	gastr	3	5	2021
OL21_14	troch	1	3	2021
OL21_15	troch	2	4	2021
OL21_16	troch	3	5	2021
OL24_13	meta	1	18	2024
OL24_14	meta	2	19	2024
OL24_15	meta	3	20	2024
OL21_18	adult	1	6	2021
OL21_19	adult	2	7	2021
OL21_20	adult	3	8	2021
